prova,local,data,link
MEIA MARATONA DO CONTORNO DE FLORIPA 2023,"SÃO JOSÉ, SC",2023-12-03,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2592/meia_maratona_do_contorno.clax;
CORRIDA NETSHOES 2023 - FRANCA,"FRANCA, SP",2023-12-03,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2714/corrida_netshoes_franca.clax;
5K TRIBUNA 2023,"SANTOS, SP",2023-12-03,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2706/5k_tribuna.clax;
1º PORECATU HARD RUN,"PORECATU, PR",2023-12-03,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2899/corrida_porecatu.clax;
BONITO 21K - 2023,"BONITO, MS",2023-12-02,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2772/bonito_21k.clax;
SANTANDER TRACK&FIELD RUN SERIES - ETAPA MARILIA,"MARILIA, SP",2022-02-20,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1917/trackn_field_marilia.clax;
TRACK & FIELD RUN SERIES - RIO DE JANEIRO 2022,"RIO DE JANEIRO, RJ",2022-02-20,https://www.chronomax.com.br/index.php/Maxraceresults/dados/926;
NIGHT RUN ICARAÍ BEACH - 10ª EDIÇÃO 2022,"NITERÓI, RJ",2022-04-30,https://www.chronomax.com.br/index.php/Maxraceresults/dados/998;
CORRIDA DO BEM - MARINGÁ,"MARINAGÁ, PR",2022-04-03,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1871/corrida_do_bem.clax;
CIRCUITO DE CORRIDAS FECAM 2022 - ETAPA ACADEMY,"CAMPO MOURÃO, PR",2022-03-27,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1969/fecam_integrado.clax;
RIO CITY HALF MARATHON 2022,"RIO DE JANEIRO, RJ",2022-05-15,https://www.chronomax.com.br/app/1862/;
STORM RIDERS,"SÃO PAULO, SP",2022-01-23,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1848/storm_riders.clax;
CORRIDA DA UVA JUNDIAÍ 2022 E CORRIDA BAMBINI 2022,"JUNDIAI, SP",2022-06-05,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2142/corrida_uva.clax;
XTERRA - ILHA GRANDE,"ANGRA DOS REIS, RJ",2022-05-28,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1931/xterra_ilhagrande.clax;
IV CORRIDA E CAMINHADA SÃO SEBASTIÃO DE ITAIPU - ALMA MISSIONÁRIA,"NITERÓI, RJ",2022-06-12,https://www.chronomax.com.br/index.php/Maxraceresults/dados/901;
3 HORAS AUTÓDROMO VELOCITTA 2022,"MOGI GUAÇÚ, SP",2022-02-19,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1882/3h_velocitta.clax;
CIRCUITO SAÚDE - ETAPA CAPIVARI,"CAPIVARI, SP",2022-03-13,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1981/saude_capivari.clax;
CIRCUITO NEO RUNNING - TAPIRAÍ,"TAPIRAI, SP",2022-04-24,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1898/neo_running_tapirai.clax;
TROFEU NIKE - QUALIFY 2,"SÃO PAULO, SP",2022-08-20,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2184/trofeu_nike.clax;
1º ETAPA COPA NINJA DE MTB - 2022,"PARANAGUA, PR",2022-01-23,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1867/Copa_Ninja_1_etapa.clax;
COPA NINJA DE MTB 3 ETAPA,"MORRETES, PR",2022-05-15,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2124/copa_ninja_3_etapa.clax;
CIRCUITO CARIOCA DE CICLISMO - PRAQUE RADICAL 2022,"RIO DE JANEIRO, RJ",2022-05-28,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1004;
GREENV RUN THE BRIDGE,"SÃO PAULO, SP",2022-09-04,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1863/run_the_bridge.clax;
WTR CAMELBAK LE CANTON 2022,"TERESOPOLIS, RJ",2022-09-17,https://chronomax.com.br/resultados/g-live.html?f=neorace/2022/SETEMBRO/WTRCLC/WTR_CLC.clax;
DESAFIO 24H TORAO TAKADA 2022,"TOLEDO, PR",2022-04-23,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1990/24h_torao_takada.clax;
CORRIDA UNIMED RIO - ETAPA PARQUE MADUREIRA,"RIO DE JANEIRO, RJ",2022-06-26,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1044;
CIRCUITO DA FAMÍLIA - CROSS COUNTRY 2022,"RIO DE JANEIRO, RJ",2022-07-03,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1045;
TEMPO ADIZERO - ADIDAS,,2022-08-18,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2207/tempo_adizero.clax;
CORRIDA SOLIDÁRIA REDE FEMININA,"MARINGÁ, PR",2022-10-16,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1935/solidaria_rede_feminina.clax;
VENUS RJ 2022,"RIO DE JANEIRO, RJ",2022-11-15,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1858/venus_rj.clax;
CIRCUITO CAPIXABA DE MONTANHAS 2022 - ETAPA VENDA NOVA DO IMIGRANTE,"VENDA VELHA DO IMIGRANTE, ES",2022-01-16,https://www.chronomax.com.br/index.php/Maxraceresults/dados/899;
COPA NINJA DE MTB 2 ETAPA,"GUARATUBA, PR",2022-03-13,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1984/Copa_Ninja_2_etapa.clax;
1ª CORRIDA DE RUA E CAMINHADA DE MACATUBA,"MACATUBA, SP",2022-06-05,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2136/corrida_macatuba.clax;
LANÇAMENTO CALENDÁRIO CORRIDAS ABRACEO,"SÃO PAULO, SP",2022-05-24,https://www.chronomax.com.br/resultados/g-live.html?f=2022/10001/abraceo_sp.clax;
UPHILL SERRA DO RIO DO RASTRO 2022,"LAURO MÜLLER, SC",2022-09-02,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1922/uphill_rio_rastro.clax;
RIO TRIATHLON - 4ª ETAPA 2022,"RIO DE JANEIRO, RJ",2022-09-25,https://chronomax.com.br/resultados/g-live.html?f=neorace/2022/SETEMBRO/riotri/riotri3.clax;
CORRIDA UNIMED RIO - ETAPA BARRA DA TIJUCA,"RTIO DE JANEIRO, RJ",2022-09-17,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1125;
WTR SERRA DO MAR 2022,"PETRÓPOLIS, RJ",2022-11-26,https://chronomax.com.br/resultados/g-live.html?f=neorace/2022/nov/wtrsdm/wtrsdm22.clax;
12 HORAS NIGHT RUN - ETAPA EXÉRCITO BRASILEIRO 2022,"VILA VELHA, ES",2022-12-10,https://chronomax.com.br/resultados/g-live.html?f=neorace/2022/dez/ultra/ultra12h.clax;
DESAFIO BRAVES MUD RACE,"SAO JOSE DOS PINHAIS, PR",2022-12-03,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2323/desafio_braves.clax;
HAPPY RUNNING,"TABOÃO DA SERRA, SP",2022-02-19,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1896/happy_running.clax;
2ª CORRIDINHA CHRONOMAX,"SAO PAULO, SP",2022-04-20,https://www.chronomax.com.br/resultados/g-live.html?f=2022/5002/corridinhas_chx_2.clax;
HERO SWIMRUN 2022,"ARMAÇÃO DE BUZIOS, RJ",2022-03-26,https://www.chronomax.com.br/index.php/Maxraceresults/dados/932;
WRUN RJ 2022,"RIO DE JANEIRO, RJ",2022-06-05,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1856/wrun.clax;
L'ÉTAPE RIO DE JANEIRO SANTANDER BY TOUR DE FRANCE 2022,"RIO DE JANEIRO, RJ",2022-06-26,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1963/letape_rio.clax;
4º ETAPA COPA NINJA DE MTB,,2022-07-17,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2195/copa_ninja_4_etapa.clax;
DESAFIO SHOGUN/SAMURAI - UPHILL 2022,"BOM JARDIM DA SERRA, SC",2022-09-02,https://www.chronomax.com.br/resultados/g-live.html?f=2022/1922/desafios.clax;
2 CORRIDA TRIMAIS KIDS - 2022,"SÃO PAULO, SP",2022-10-12,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2215/trimais_kids.clax;
CIRCUITO DAY - BIKE E RUN,"SÃO PAULO , SP",2022-10-23,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2279/circuito_day_run.clax;
DESAFIO LOCALIZA CAMBE,"LONDRINA, PR",2022-10-16,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2198/desafio_localiza.clax;
CORRIDA CHOQUE X BOPE 2022,"RIO DE JANEIRO, RJ",2022-11-06,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1224;
6º ETAPA COPA NINJA,"ANTONINA, PR",2022-11-13,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2231/copa_ninja_6_etapa.clax;
CICLISMO PEDAL PORECATU 4ª EDIÇÃO,"PORECATU, PR",2022-12-03,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2899/corrida_porecatu.clax;
31º TROFÉU BRASIL DE TRIATHLON – 4ª ETAPA,"SAO PAULO, SP",2022-12-11,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2017/tbt_etapa4.clax;
POA NIGHT RUN,"PORTO ALEGRE, RS",2023-03-18,https://www.chronomax.com.br/resultados/g-live.html?f=2023/2366/poa_night_run.clax;
RUN DE JANEIRO - QUINTA DA BOA VISTA 2023,"RIO DE JANEIRO, RJ",2023-03-26,https://www.chronomax.com.br/index.php/Maxraceresults/dados/1352;
CORRIDA UNIMED NOVA IGUAÇU - 189 ANOS DA CIDADE DE NOVA IGUAÇU,"NOVA IGUAÇU, RJ",2022-01-15,https://www.chronomax.com.br/index.php/Maxraceresults/dados/900;
CORRIDA DO TÚNEL 2022,"NITERÓI, RJ",2022-03-13,https://www.chronomax.com.br/index.php/Maxraceresults/dados/762;
1° BIKE AND RUN DUATHLON SERIES,"CURITIBA, PR",2022-05-22,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2123/duathlon_bike_run.clax;
31º TROFÉU BRASIL DE TRIATHLON - 2 ETAPA - 2022,"SANTOS, SP",2022-06-12,https://www.chronomax.com.br/resultados/g-live.html?f=2022/2016/tbt_etapa2.clax;
