prova,local,link,data
CIRCUITO DAS ESTAÇÕES 2023 - VERÃO - RJ,"RIO DE JANEIRO, RJ",https://www.ativo.com/calendario/eventos/america-do-sul/br/rj/rio-de-janeiro/corrida-de-rua/38554/circuito-das-estacoes-2023-verao-rio-de-janeiro/;,2023-DEZ-03
CIRCUITO DAS ESTAÇÕES 2023 - VERÃO - FORTALEZA,"FORTALEZA, CE",https://www.ativo.com/calendario/eventos/america-do-sul/br/ce/fortaleza/corrida-de-rua/38561/circuito-das-estacoes-2023-verao-fortaleza/;,2023-DEZ-03
FUGA DAS ILHAS 2023,"SÃO SEBASTIÃO, SP",https://www.ativo.com/calendario/eventos/america-do-sul/br/sp/sao-sebastiao/travessia/38587/circuito-aqua-2023-fuga-das-ilhas/;,2023-DEZ-03
CIRCUITO BANCO DO BRASIL 2023 - ARACAJU,"ARACAJU, SE",https://www.ativo.com/calendario/eventos/america-do-sul/br/se/aracaju/corrida-de-rua/38894/circuito-banco-do-brasil-2023-aracaju/;,2023-DEZ-03
MEIA MARATONA DO CONTORNO DE FLORIPA 2023,"SÃO JOSÉ, SC",https://www.chronomax.com.br/resultados/g-live.html?f=2023/2592/meia_maratona_do_contorno.clax;,2023-DEZ-03
CORRIDA NETSHOES 2023 - FRANCA,"FRANCA, SP",https://www.chronomax.com.br/resultados/g-live.html?f=2023/2714/corrida_netshoes_franca.clax;,2023-DEZ-03
5K TRIBUNA 2023,"SANTOS, SP",https://www.chronomax.com.br/resultados/g-live.html?f=2023/2706/5k_tribuna.clax;,2023-DEZ-03
CORRIDA DE NATAL DO PARQUE RADICAL 2023,"RIO DE JANEIRO, RJ",https://neorace.com.br/resultados/g-live.html?f=2023/dez/natal/natal.clax;,2023-DEZ-03
1º PORECATU HARD RUN,"PORECATU, PR",https://www.chronomax.com.br/resultados/g-live.html?f=2023/2899/corrida_porecatu.clax;,2023-DEZ-03
BONITO 21K - 2023,"BONITO, MS",https://www.chronomax.com.br/resultados/g-live.html?f=2023/2772/bonito_21k.clax;,2023-DEZ-02
FALA MENOS E CORRE MAIS - ETAPA RECREIO,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/219;,2017-FEV-12
BOTA A PREGUIÇA PRA CORRER - ETAPA URCA,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/220;,2017-JAN-29
CORRIDA DE ANIVERSÁRIO 184 ANOS DE NOVA IGUAÇU,"NOVA IGUAÇU, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/221;,2017-JAN-29
BOTA A PREGUIÇA PRA CORRER - ETAPA NITERÓI,"NITERÓI, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/222;,2017-JAN-22
CIRCUITO DESAFIO BY DAY PETROPOLIS,"PETRÓPOLIS, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/209;,2017-MAR-26
CORRIDA E CAMINHADA ROBERTA SANTANA,"NOVA IGUAÇU, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/210;,2017-MAR-26
CORRIDA DO TÚNEL NITERÓI,"NITERÓI, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/211;,2017-MAR-19
ENDORFINA RUN - ETAPA BARRA,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/212;,2017-MAR-19
AQUATHLON FTERJ 1ª ETAPA,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/213;,2017-MAR-19
JOGOS CARIOCAS DE VERÃO 2017 - ETAPA MAR,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/214;,2017-MAR-18
CORRIDA JOGOS CARIOCAS DE VERÃO 2017,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/215;,2017-MAR-11
DUATHLON FTERJ 1ª etapa,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/216;,2017-FEV-19
FALA MENOS E CORRE MAIS - ETAPA NITERÓI,"NITERÓI, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/217;,2017-FEV-19
FUN AND RUN - ETAPA NITERÓI,"NITERÓI, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/218;,2017-FEV-12
TRAIL RUNNING,"NITERÓI, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/201;,2017-MAI-07
DESAFIO DE RUA CAPAL,"ARAPOTI, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/135;,2017-MAI-01
43ª PROVA RUSTICA TIRADENTES,"MARINGA, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/136;,2017-ABR-30
CORRIDA SOLDADO DO BOPE NAS TREVAS,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/202;,2017-ABR-29
1ª CORRIDA E CAMINHADA ZÉ GAROTO,"SÃO GONÇALO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/203;,2017-ABR-09
38ª SIPAT INTEGRADA REVAP 2017,"SÃO JOSÉ DOS CAMPOS, SP",https://www.chronomax.com.br/index.php/Maxraceresults/dados/204;,2017-ABR-06
BARRA RUN - ETAPA NOVO LEBLON,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/205;,2017-ABR-02
CIRCUITO RIO ANTIGO ETAPA LAPA 2017,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/206;,2017-MAR-26
CIRCUITO UFF RIO TRIATHLON,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/207;,2017-MAR-26
NEW BALANCE 15K SERIES 2017,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/208;,2017-MAR-26
CIRCUITO DESAFIO - ETAPA BY NIGHT TERESÓPOLIS,"TERESÓPOLIS, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/189;,2017-JUN-10
THE STRONGS 2ª ETAPA,"IGARASSU, PE",https://www.chronomax.com.br/index.php/Maxraceresults/dados/114;,2017-JUN-04
RUN FOR MORE – HELEN KELLER – ESCOLA DE CÃO GUIA,"ITAJAI, SC",https://www.chronomax.com.br/index.php/Maxraceresults/dados/116;,2017-JUN-04
DISCOVER TRAIL RUN – ETAPA LAPA,"LAPA, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/125;,2017-JUN-04
1ª VOLTA USP LESTE – CORRIDA E CAMINHADA 5KM,"SAO PAULO, SP",https://www.chronomax.com.br/index.php/Maxraceresults/dados/126;,2017-JUN-04
10ª MEIA MARATONA DAS CATARATAS,"FOZ DO IGUAÇU, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/128;,2017-JUN-04
CIRCUITO SOUL CARIOCA - ETAPA PARQUE MADUREIRA,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/190;,2017-JUN-04
XVII CORRIDA SANTOS DUMONT,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/182;,2017-JUL-23
FAMILY DAY ETAPA BOSQUE DA BARRA,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/191;,2017-JUN-04
MEIA MARATONA BLUMENAU,"BLUMENAU, SC",https://www.chronomax.com.br/index.php/Maxraceresults/dados/100;,2017-JUL-16
SANDOZ RUN,"LONDRINA, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/129;,2017-MAI-28
RIO ROTARY RUN,"BANGU, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/183;,2017-JUL-16
1ª CORRIDA DO CIRCUITO DE PASSO FUNDO 2017,"PASSO FUNDO, RS",https://www.chronomax.com.br/index.php/Maxraceresults/dados/130;,2017-MAI-28
ULTRAMARATONA DOS PERDIDOS 2017,"TIJUCAS DO SUL, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/101;,2017-JUL-14
CIRCUITO RIO ANTIGO - ETAPA QUINTA DA BOA VISTA,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/184;,2017-JUL-09
CAMINHADA E CORRIDA 5K BRF – NOVA MUTUM,"NOVA MUTUM, MT",https://www.chronomax.com.br/index.php/Maxraceresults/dados/102;,2017-JUL-02
2ª CORRIDA DO CIRCUITO DE PASSO FUNDO 2017,"PASSO FUNDO, RS",https://www.chronomax.com.br/index.php/Maxraceresults/dados/103;,2017-JUL-02
DESAFIO DA MANOEL RIBAS – DROGAS TÔ FORA!,"ARAUCARIA, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/104;,2017-JUL-02
DESAFIO DO VULCÃO,"NOVA IGUAÇU, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/185;,2017-JUL-02
XC RUN ITAIPAVA,"ITAIPAVA PETROPOLIS, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/186;,2017-JUL-01
GNT APRESENTA #CORRIDAELESPORELAS,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/192;,2017-MAI-28
CORRIDA BRISAS,"ITAJAI, SC",https://www.chronomax.com.br/index.php/Maxraceresults/dados/105;,2017-JUN-25
BRAVES TRAIL RUN 2017 – 1ª EDIÇÃO,"SÃO JOSÉ DOS PINHAIS, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/106;,2017-JUN-25
BRAVES MOUNTAIN BIKE 2017 – 1ª EDIÇÃO,"SÃO JOSÉ DOS PINHAIS, PR",https://www.chronomax.com.br/index.php/Maxraceresults/dados/107;,2017-JUN-25
CORRIDA DE ANIVERSÁRIO DE NILÓPOLIS,"NILÓPOLIS, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/174;,2017-AGO-27
TURTLE RUN,"RIO DE JANEIRO, RJ",https://www.chronomax.com.br/index.php/Maxraceresults/dados/178;,2017-AGO-06
