id_evento,nome,data,cidade,estado,tipo_evento,evento_terceiro,organizador,id_organizador
37750,Circuito das Estações 2023 - Verão - Goiânia,2023-12-03 00:00:00,Goi&acirc;nia,GO,Corrida de Rua,1,,0
38843,New Balance 15K - São Paulo,2023-11-12 00:00:00,S&atilde;o Paulo,SP,Corrida de Rua,2,O2Corre,14
38571,Night Run 2023 - Etapa 1 - Salvador,2023-11-11 00:00:00,Salvador,BA,Corrida de Rua,2,O2Corre,14
38556,Night Run 2023 - Etapa 2 - Rio de Janeiro,2023-11-11 00:00:00,Rio de Janeiro,RJ,Corrida de Rua,2,O2Corre,14
38841,29ª Maratona Pão de Açúcar de Revezamento São Paulo,2023-11-12 00:00:00,S&atilde;o Paulo,SP,Corrida de Rua,2,Pão de Açúcar,15
38973,Corrida Santa Maria Minas – 120 Anos - 2023,2023-12-03 00:00:00,Belo Horizonte,MG,Corrida de Rua,1,,0
38806,Energia Bike 2023 - Rio de Janeiro,2023-11-12 00:00:00,Rio de Janeiro,RJ,Bike,2,Terceiros,19
38585,Circuito das Estações 2023 - Verão - Recife,2023-11-12 00:00:00,Recife,PE,Corrida de Rua,2,O2Corre,14
38896,Desafio Minalba 2023,2023-12-17 00:00:00,S&atilde;o Paulo,SP,Corrida de Rua,1,,0
38552,Bravus Race 2023 - Speed 2 - São Paulo,2023-11-26 00:00:00,S&atilde;o Paulo,SP,Corrida de Obst&aacute;culos,0,Bravus,7
38889,MOV - Brasília - 2023,2023-11-11 00:00:00,Bras&iacute;lia,DF,Outros,2,Banco do Brasil,4
38890,MOV - Porto Alegre - 2023,2023-11-25 00:00:00,Bel&eacute;m,PA,Outros,2,,0
38564,Circuito das Estações 2023 - Verão - Belo Horizonte,2023-11-26 00:00:00,Belo Horizonte,MG,Corrida de Rua,2,O2Corre,14
38561,Circuito das Estações 2023 - Verão - Fortaleza,2023-12-03 00:00:00,Fortaleza,CE,Corrida de Rua,2,O2Corre,14
38566,Circuito das Estações 2023 - Verão - Salvador,2023-12-17 00:00:00,Salvador,BA,Corrida de Rua,2,O2Corre,14
38547,Circuito das Estações 2023 - Verão - São Paulo,2023-12-17 00:00:00,S&atilde;o Paulo,SP,Corrida de Rua,2,O2Corre,14
38581,Circuito das Estações 2023 - Verão - Brasília,2023-12-10 00:00:00,Bras&iacute;lia,DF,Corrida de Rua,2,O2Corre,14
38554,Circuito das Estações 2023 - Verão - Rio de Janeiro,2023-12-03 00:00:00,Rio de Janeiro,RJ,Corrida de Rua,2,O2Corre,14
38877,Circuito SESC de Corridas - Etapa: Petrolina,2023-11-15 00:00:00,Petrolina,PE,Corrida de Rua,1,,0
38786,Corrida de Vera Cruz 2023 - Rio de Janeiro,2023-12-31 00:00:00,Rio de Janeiro,RJ,Corrida de Rua,1,O2Corre,14
38646,Circuito das Estações 2023 - Verão - Teresina,2023-12-03 00:00:00,Teresina,PI,Corrida de Rua,1,,0
38971,NIGHT RUN - TIETÊ - CORRIDA DA VIRADA - 3ª Edição,2023-12-30 00:00:00,S&atilde;o Paulo,SP,Corrida de Rua,1,,0
38972,SP TIETÊ RUN - CORRIDA DA VIRADA - 3ª Edição,2023-12-30 00:00:00,S&atilde;o Paulo,SP,Corrida de Rua,1,,0
38922,Up Night Run - Campinas 2023,2023-11-15 00:00:00,Campinas,SP,Corrida de Rua,2,O2Corre,14
38859,Circuito do Fogo – 12ª Edição,2024-01-14 00:00:00,Belo Horizonte,MG,Corrida de Rua,1,,0
38938,VII Corrida e Caminhada São Sebastião Bangu,2024-01-28 00:00:00,Rio de Janeiro,RJ,Corrida de Rua,1,,0
38874,2° Desafio Run Cecmar,2023-12-17 00:00:00,Rio de Janeiro,RJ,Corrida de Rua,1,,0
